article_text,author,link,title
"Iran's government has been defiant about the US sanctions reinstated by then-President Donald Trump in 2018 when he abandoned a nuclear deal - but also very focused on getting them lifted. 
Talks with the Biden administration on the issue have been taking place for weeks, with Iranian President Hassan Rouhani sounding more upbeat than US officials about reaching an agreement. 
Though Iran's leaders seem reluctant to admit it, the sanctions have exacerbated already serious economic problems - as recent long queues for chicken have shown. BBC Monitoring's Kian Sharifi explains. 
Research: Adranik Karapetyan",,https://www.bbc.com/news/av/world-middle-east-57198846,Why Iranians have been queueing for chicken
"Around 6,500 schools across the UK are in areas with high levels of air pollution, and among them is St Ambrose RC primary school in Manchester. 
It sits on one of Europe's busiest roads where particle pollution levels exceed WHO limits.
Coronavirus lockdowns made way for less traffic and cleaner air but as measures continue to ease, the school is campaigning against a return to pre-pandemic rush-hour traffic.",,https://www.bbc.com/news/av/uk-57203122,Pollution: ‘We can smell and taste the traffic at school'
"Striking images have captured the human cost of the conflict over the past few days, as air strikes and rocket attacks turn homes and possessions into rubble and force people to rush for shelter.
Israel says its air strikes on Gaza have targeted Palestinian militants but power lines and main roads have also been damaged.
In the image above, a Palestinian man hunches over the rubble of his destroyed home following an Israeli strike on Sunday. 
Some of his family were buried beneath the debris.
That day was the deadliest in Gaza since fighting erupted more than a week ago.
Israeli air strikes hit a busy street just after midnight, causing several buildings to collapse and dozens of deaths.
""We need at least 10 years more to build what has been damaged here in Gaza,"" Mohammad Abu Rayya, a paediatrician, told the BBC on Monday following further strikes.
Impromptu funerals have been held around the territory. The woman above is mourning her family who died in a strike in Gaza City.
Meanwhile Hamas, which controls Gaza, and other Palestinian militant groups there, have continued to launch rockets towards southern Israel.
Homes and buildings have been damaged, and millions of Israelis have been forced to flee to safe rooms or shelters as warning sirens blare. 
The young girl above was pictured at a bomb shelter in the city of Ashkelon, which has borne the brunt of the rocket attacks.
Victoria Tapalashvili can be seen inspecting the damage at her home in the southern Israeli city of Ashdod following an attack.
""It is not easy - almost every evening, every night, we get the kids out of bed [and] run to shelters,"" Israeli tech executive and father of three, Eitan Singer, told the BBC.
""We have 30 seconds to 60 seconds to find a shelter.""
This image shows another damaged home in Ashdod. 
Israel's Iron Dome defence system is said to have intercepted 90% of the rockets fired at its territory.
Rockets have also been fired from neighbouring Lebanon towards northern Israel.
The violence also spread to the occupied West Bank, where Israeli troops clashed with Palestinians over the weekend.
These Palestinians watch from a window as mourners carry the body of a relative during a funeral in the West Bank on Sunday.
Palestinian Arabs live in the West Bank under both limited self-rule and Israeli military rule.
This man, Riyad Eshkuntana, was pulled from the rubble along with his six-year-old daughter, Suzy, in Gaza.
She was trapped for hours underneath their home, and was eventually reunited with her father at Gaza's largest hospital.
""Forgive me, my daughter. You screamed to me to come to you, but I couldn't come,"" Mr Eshkuntana told her when they were reunited, according to Reuters.
This image shows the Abu Dayer family at the Al-Shifa hospital in Gaza, shortly after two relatives were killed.
This woman checks the damage at her home in Ashkelon, as coverage of the fighting continues to play in the background.
The violence has prompted increasing concern internationally.
World leaders and humanitarian organisations have called for measures to prevent the deaths of residents and the chaos wrought by the destruction of buildings and infrastructure.
In the image above, a man mourns the death of his 12-year-old daughter Rahaf al-Dayer in Gaza.
And below, the family and friends of an Israeli soldier weep at his funeral.
The conflict is now in its second week, with little sign of ending. Air strikes and rocket attacks continued into Tuesday. 
The US and other world powers have voiced support for a ceasefire - but one does not appear to be imminent.",,https://www.bbc.com/news/world-middle-east-57154557,In pictures: Fear and mourning as Israel-Gaza violence rages on
"""Between the ages of 10 and 12, I recall suddenly feeling very uncomfortable in my skin, becoming self-conscious and having huge worries about the world and the future,"" she says.
""Although it's often called an 'awkward' age by parents, I think it is an important and beautiful time, so I chose to re-visit it with my camera and put these girls centre stage.
""I wanted to show them as they are and at the same time to empower them."" 
While photographing each girl, Mendelsohn asked them about their ambitions, dislikes and hopes for the future.
She soon realised that their responses provided snapshots of wider issues in the world at the time.
""Initially, many of the girls talked about their fear and worries of war, homelessness and self-image,"" she says.
""As the years went on, they started to talk about fear for the planet and climate change.
""The last girl I photographed talked about her fear of coronavirus, around seven weeks before the first lockdown.
""I learned to never underestimate what children of this age think and the depth of their feeling.""
Here is a selection of Mendelsohn's portraits, along with the girls' responses.
""I love being adventurous, creative and drawing. 
""I hate being bossed around. 
""I would really love to be a doctor and I wish nobody died in the world.""
""I hope that in the future, society is more open about body image, because everyone is different, and I really hope people can accept that more. 
""Not everybody is like what you see in the magazines; everyone is perfect and unique in their own way. 
""My ambition is to be more self-confident when I am older and to help other people be more confident about themselves. 
""My dream is probably to have a decent job and two Pomeranians.""
""When I am an adult, I want to be a racing car driver, a scientist and a singer. 
""Also I want to get a job where I can look after and raise big cats, like lions and tigers. 
""My dream is to walk like my sister so I can run with her and go where she can go. 
""If I could walk, that is what I want, to go where my sister goes, so I can go in the hard bits and follow her. 
""My wish is to walk.""
""My ambition is to travel around the world and meet loads of new people from all different countries and cultures. 
""I dream that no-one is homeless and everyone has a special place to go to.""
""When I am an adult, I want to be an author and to set up a business to help children who are in foster families or in care, or those who have a disability. 
""I have craniosynostosis; when I was a baby, the bones in my head had already fused together. 
""When I was six months old I had to have an operation, then another one when I was one. 
""My wish is to visit the rainforest - I imagine it to be tropical and I would love the smell.""
""I would like to be a zoo-keeper or be a vet or a writer when I am older. 
""I hope that we stop destroying the world. 
""We have got to stop cutting down trees, as well to make homes and to stay warm. 
""I am scared that the sea level is rising and also I worry about the coronavirus.""
""My hopes for the future are for all people to have a roof over their head, and have family or people who they can be with and feel loved and be cared for. 
""I wish to be happy forever, to always be loved and to grow up to have a really good life. 
""I am the oldest of my friends, but I am one of the smallest. 
""It doesn't actually matter that much, though. 
""Just because you are small doesn't mean to say you can't go on to great things.""
""My dream is to become a good teacher so I can help children overcome their difficulties and become great people like doctors and prime ministers.""
""I love spending time with my family because they are really funny. 
""My advice to girls my age going to secondary school is to be yourself and don't let other people take over your life, because it can make your life miserable. 
""Stick up for yourself and stick up for people who others are being mean to.""
""I love to dance and I love acting because you get to express how you feel; I feel free. 
""I am not afraid to say what I have to say, I am not a shy person. 
""My dream is to have a big house, a loving family and loads of pets - mostly dogs. 
""I wish that there was no evil in the world and we were all nice to everyone, and everyone had a voice in the world, and no-one would be put down or anything.""
 is an Impressions Gallery touring exhibition and will be on display in Bradford, West Yorkshire, from 18 May until 24 July 2021.
A book of Carolyn Mendelsohn's photography is published by Bluecoat Press.",,https://www.bbc.com/news/in-pictures-57062159,Powerful portraits of girls on the cusp of adolescence
"""For me, it is the last frontier, a mysterious universe of its own, where the immense power of nature can be felt as nowhere else on Earth,"" he says.
""Here is a forest stretching to infinity that contains one tenth of all living plant and animal species, the world's largest single natural laboratory.""
A lifelong advocate for the Amazon's indigenous people, Salgado documented the daily lives of a dozen of the tribes scattered throughout the rainforest - from hunting and fishing expeditions, to dances and rituals.
Born in 1944, Salgado left a career in economics to start as a photographer in 1973.
He worked on international assignments for a variety of photography agencies before forming his own, Amazonas Images, with his wife, Lélia, in 1994. 
Over the years, Salgado's work has featured in numerous exhibitions and books, the latest of which brings together his Amazon photography.
""My wish, with all my heart, with all my energy, with all the passion I possess, is that in 50 years' time this book will not resemble a record of a lost world,"" he says.
""Amazônia must live on.""
Amazônia, by Sebastião Salgado, is published by Taschen.",,https://www.bbc.com/news/in-pictures-57162597,Amazon in pictures: Sebastião Salgado's last frontier
"More than 200,000 people were killed during the 36-year civil war between the military and left-wing rebels which ended in 1996. Of these, an estimated 45,000 people were forcibly disappeared, their bodies buried in unmarked pits or dumped in mass graves.
Over the years, the Forensic Anthropology Foundation of Guatemala (FAFG) has tried to locate and identify the remains of the victims of forced disappearances. 
They collect DNA samples from family members, carry out exhumations and return the identified remains of victims to their relatives for a dignified burial. 
But as the Covid-19 pandemic struck, the FAFG was forced to suspend its field visits for almost a year. 
In February, the FAFG resumed its work in the Ixil Mayan communities of Nebaj, Cotzal and Chajul. In 1982, some of the most brutal massacres of the armed conflict were carried out in this area under the orders of then-military ruler General Efrain Rios Montt.
Rios Montt was convicted of genocide and crimes against humanity in 2013 but his conviction was later overturned. He died in 2018 while a retrial was under way. 
Even though Guatemala's Supreme Court of Justice ruled in 2018 that acts of genocide were carried out against the Ixil people, only a small number of low-ranking soldiers have been convicted of war crimes and Rios Montt has not been convicted of genocide posthumously. 
Meanwhile, for many in the communities ravaged by the conflict, the search for those forcibly disappeared decades ago continues. 
In 1982, Juliana Tum Sicá's family hid in the mountains near Xexuxcap along with several other people in order to safeguard their lives from constant attacks by the Guatemalan army. 
While hiding in the mountains, Juliana's daughter, Paula Ajanel Tum, became ill and, without access to food or medicines, died aged seven.
Her body was buried in a shallow clandestine grave. The family hopes to recover the girl's skeletal remains to provide a proper burial.
The executive director and founder of FAFG, Fredy Peccerelli, says that the passage of time and other obstacles, such as the pandemic, will not stop his group: ""Families still deserve to have someone accompany their search to try to identify their loved ones."" 
The FAFG has been working for years to locate, exhume and identify the remains of missing people. In September 2014, members of their team exhumed human remains at a former military garrison in Cotzal.
Through DNA testing they were able to identify them as those of Baltazar Gómez Toma. 
Toma and several other Ixil Mayan men had been summoned to the garrison on 3 February 1982. They were accused of being guerrilla sympathisers and executed by firing squad. 
After the FAFG identified his remains, they handed them over to his family for a proper burial in February 2021, after they had carried out the necessary Covid-19 safety protocols.
""It is our responsibility to continue to provide the experience and scientific know-how to accompany their brave search. They are not alone,"" Fredy Peccerelli says of his team's work.
The FAFG also carried out forensic analyses on the remains of José María Gran Cirera, Domingo del Barrio Batz and Tomás Ramírez Caba.
The three men were killed by the Guatemalan Army in 1980 after being accused of aiding guerrilla forces that operated in the region. José María Gran Cirera, who was originally from Spain, was the Catholic priest in the village of Chajul at the time and was killed along with his sacristan, Domingo del Barrio Batz in June 1980. 
Tomás Ramírez Caba, who also served as a sacristan in his parish, was killed at the entrance of Chajul's Catholic Church later that same year. All three have been decreed martyrs by Pope Francis.
Their bodies were originally laid to rest in a crypt inside Chajul's Catholic Church but have been reburied following a beatification ceremony. 
FAFG founder Freddy Peccerelli says that not only are the scars left by the armed conflict in communities like Chajul, Nebej  and Cotzal still very deep, they continue to have repercussions today. 
Poverty, lack of access to land, corruption and a increasing economic polarisation all play a role in keeping rural communities destitute.
""The conflict widened the gap in access to education and to opportunities for work and employment,"" he says. 
""The people who benefited and profited from the conflict now occupy political positions,"" Mr Peccerelli says. 
He thinks that until Guatemalans come to terms with their past and there are opportunities for them to build a better future within Guatemala, many will continue to emigrate to the United States. 
Meanwhile, FAFG forensic experts continue their work to reunite families like that of Francisco Toma to lay to rest the remains of their loved ones.
Soldiers in uniform abducted Francisco Toma from his home in February 1982. His family was never told where he had been taken or what had happened to him. 
His remains were among scores of bodies exhumed by the FAFG from a mass grave at the Xolosinay Military Garrison in 2014.
Through DNA testing the FAFG was able to identify the remains and hand them to his family for burial.",,https://www.bbc.com/news/world-latin-america-57133013,Guatemala disappeared: Reuniting families with the remains of loved ones
"Sir Richard Branson's Virgin Galactic space plane has conducted the first of three key test flights that should enable it to enter commercial service. The Unity vehicle, with pilots Dave Mackay and CJ Sturckow at the controls, powered to a height of 89km (55 miles), and then glided back down to Earth.
Sir Richard has some 600 paying customers - including movie and music stars - waiting to take the same ride. But they'll only get their chance once Unity is fully licensed.
Watch the moment the Unity rocket plane was launched.
Read more: ",,https://www.bbc.com/news/av/science-environment-57214989,Virgin Galactic rocket plane soars to edge of space
"There's an old line that goes ""you only get wrinkles where the smiles have been"".
Mine though are cropping up in some of the strangest corners of my 54-year-old face.
Applying a surgical remedy hadn't been on my radar until recently, when the past year exposed a possibly surprising rise in men seeking ""tweakment"".
The British Association of Aesthetic Plastic Surgeons says that 
. Could it be because we have all spent the past year forever seeing our reflection on work video calls?
""We know that more and more people have been on social media, and conference calls, because they've been stuck at home,"" says Dr Helena Lewis-Smith, a psychology researcher specialising in body image at the University of the West of England.
""There's a tool on Zoom, for example, allowing people to smooth their skin's appearance. People who are more likely to press that button during these calls are more likely to be invested in their appearance, and have a worse body image.""
The growing trend of male cosmetic surgery is more pronounced in the US, 
.
""Our society places a premium on youthfulness,"" says Dr Alan Matarasso, a previous president of the American Association of Plastic Surgeons. ""Men are as concerned as anybody else about their appearance.
""And there's been a change in the culture of male preening - it's become socially acceptable for men, whereas before it might not have been so.""
The changing patterns of modern work also provides a more hard-nosed business logic, he thinks. 
""We're not in a world any more where somebody lives in the same house, or works in the same job, their whole lives,"" says Dr Matarasso. ""And whether you subscribe to this or not, many of us judge people on first impressions.""
I hadn't been pressing any image-altering buttons on video calls, but I was curious to see what the fuss was about. I had already discussed my plan with friends and family, whose responses ranged from smirks and alarm, to fascination, and in one case - ill-concealed envy.
Plastic surgery does start to feel like the front-line of an undeclared culture war, with prejudice and shaming liberally dispensed on both sides. 
For those taking the plunge, probably the most popular intervention (for men and women) is Botox. Also known as botulinum toxin, it's the trade name of a protein that in much larger volumes is active in the disease, botulism.
But don't let that necessarily put you off. Applied minimally to your face, it's billed as helping to smooth out wrinkles, such as crow's feet and frown lines, freezing muscles for a period of months at a time. 
""We have older successful businessmen, and the owner of a racing car company,"" says Dr Salinda Johnson, describing some of the clients who visit her London Cosmetic Clinic. ""Older men are more concerned about ageing. And we also have younger City workers who want to look more handsome and more attractive.""
After a brief consultation, I'm encouraged to lie back on her couch, receive a generous smear of anti-septic across my forehead, and then a series of pin-prick jabs. It's a very fine needle.
I didn't find the injections uncomfortable, although I was warned of possible short-term headaches, and to avoid vigorous exercise over the coming hours. But I'm still debating with myself whether my lines and creases aren't simply an indication of experience or character.
""There's only so much character we want to have!"" argues Dr Matarasso, who says that for many of his male patients, the experience can feel transformative. But he warns he's not in the business of providing eternal youth.
""We're here to make people look as good as they feel. We really can't turn back the clock on a 65-year-old and make them look like they're 25.""
Social and the mainstream media are awash with salutary tales about plastic surgery gone wrong. There are no shortage of highly-reputable clinicians offering treatment, but there's also an army of untrained practitioners, particularly in less-regulated countries, drawn by the huge profits to be made in this industry.
 is a new series exploring how businesses, trade, economies and working life are changing fast.
While the risks associated with a Botox injection are low, anyone planning treatment is urged to check thoroughly the qualifications of those providing it, as well as the options for aftercare. 
""TV shows and social media are essentially normalising what can be very risky procedures,"" warns Dr Lewis-Smith. ""People do experience some degree of increased happiness and body satisfaction [from cosmetic surgery] short-term, but we don't know how they're going to feel five or 10 years down the line.""
She is concerned about the trend among both men and women to place so much effort into perfecting themselves, especially when fashions around appearance and body shape are prone to change.
""Now it's all about the Kardashians, 10 years ago it was Kate Moss,"" she says. ""Think about those people's different body types. Women might now want to have buttock implants, breast implants, lip fillers, but what happens after a few years when we're sold a different ideal?""
Two weeks after my Botox injections I don't see any big changes in my own appearance, although I do have a general numbness in my forehead. The muscle-freezing will help to inhibit the creation of future wrinkles, I'm told.
Botox is actually more preventative than transformative, and will require another round after three or four months if I'm determined to maintain the effect. This is said to be how many of Hollywood's leading men have held on to their youthful skin for longer than you'd imagine. Although some, like George Clooney, claim not to be tempted. 
The global market 
  For Dr Lewis-Smith the concern is where this relentless pursuit of cosmetic improvement is leading us. 
""We're trying to adapt what we're born with for the beauty industry to make money,"" she says. ""So it does make me scared to be honest.
""We are giving them our money because we want to feel better about ourselves, and to match those ideals with what they show us. They're trading on and exploiting people's dissatisfaction.""
.",,https://www.bbc.com/news/business-57156535,Why video calls might be behind a rise in male cosmetic surgery
"Lava from the volcano lit up clouds over the eastern city, which has a population of two million.
People tried to douse the flames as the lava flowed, engulfing parts of the city and roads.
Lava could be seen between buildings in the city.
City residents fled with mattresses and other belongings.
After reaching some of the city's suburbs and the airport to the east, the flow of lava is now said to have stopped. 
Thousands of Congolese, including children, women and old people, have sought refuge in neighbouring Rwanda as the volcano erupted.  
Here they sleep with their belongings on a street in the town of Gisenyi on the border with DR Congo.
Mount Nyiragongo is one of the world's more active volcanoes - seen here from Tchegera Island on Lake Kivu outside Goma.",,https://www.bbc.com/news/world-africa-57217598,"In pictures: DR Congo's Mount Nyiragongo erupts, sparking mass evacuation"
"On 21 August, North America will be treated to a rare phenomenon - a solar eclipse. Nasa scientists are very excited.",,https://www.bbc.com/news/av/world-us-canada-40362067,North America prepares for August solar eclipse
"He oversees a team of 21 analysts in Cambridge who locate, identify and remove child sexual abuse material (CSAM) from the internet. 
The Internet Watch Foundation (IWF) is funded by the global tech industry.
It manually reviews online reports of suspected criminal content sent in by the public. Mr Hughes sees upsetting material every day.
When content is verified, analysts create unique ""digital fingerprints"" of each photo or video, then send it to law enforcement and tech firms. They also search for material online.
Occasionally, there are harrowing situations racing to track down victims from live streaming video. 
Reports jumped during the pandemic, he says: ""Over the recent May bank holiday weekend, we had more than 2,000 reports.""
In 2020, IWF received 300,000 reports and 153,000 were verified to be new CSAM content.
Police say more child predators can now be found on messaging apps, rather than on the dark web. Many don't even encrypt their web traffic.
Many authorities are concerned that 
 end-to-end encryption on messages sent over Messenger and Instagram Direct. 
End-to-end encryption is a privacy feature that makes it impossible for anyone except the sender and recipient to read messages sent online.
Authorities are concerned by Facebook's plan, saying it will make it much harder to apprehend suspects and detect child predators.
Facebook says using such technology will protect users' privacy. 
But the US, UK and Australia have repeatedly objected to the idea since 2019, saying it will jeopardise work to combat child abuse. 
Australia has also demanded the tech industry hand over private encryption keys - backdoors to their networks - to authorities. Firms, both abroad and in Australia, refused. 
Enabling backdoors would be bad, says Jenny Afia, head of Schillings' legal team: ""Any legally-enforced weakening of the encryption algorithm, or vulnerability placed within the software...would potentially allow criminals to exploit [it].
""It is worth bearing in mind that having end-to-end encryption in place has already prevented a lot of crime.""
Supporters of encryption also point out that it provides a secure means of communication for dissidents and whistleblowers and making keys available could put them in jeopardy.
Edward Snowden, the NSA whistleblower who first highlighted mass surveillance to the public, 
 if governments prevent end-to-end encryption or insist on backdoors.  
Netsweeper in Canada catalogues the internet to help schools and internet service providers block harmful content.
It sees a quarter of the world's internet traffic and is in 37% of British schools, scanning 100 million new URLs daily. Up to 300 URLs are reported to IWF daily. 
""To date, governments have left the large tech companies alone - probably because they didn't understand them as much as they do now,"" says Netsweeper's chief executive Perry Roach.
""But if we don't enable law enforcement with sophisticated tools, it will allow criminals, scammers, paedophiles and terrorists to move across the internet undetected."" 
Software engineer Brian Bason founded US firm Bark after giving his sons their first mobile phones. 
Bark uses AI neural networks to analyse text messages and social media in milliseconds for bullying, online predation, child abuse, signs of depression and suicidal ideas. 
Children have to agree to hand over their login credentials, but only relevant sections of messages are sent in alerts to parents and schools.
Bark has informed the FBI of nearly a thousand child predators over the last five years.
""The reality is end-to-end encryption will drastically reduce the amount of CSAM material reported to authorities,"" Mr Bason tells the BBC. ""To me, the trade-off is not worth it.""
Perhaps these firms disagree because their business models rely on having unfettered access to data pipelines. 
However, former UK and US intelligence agency staff tell the BBC there are other successful methods investigators can use if end-to-end encryption is introduced, like phishing, where users are tricked into visiting fake websites and handing over login credentials.
Internet giants should use machine learning to detect child predator behaviour on the device or server, they add, which wouldn't break encryption, as it occurs only after the message has been decrypted. 
Thorn, a US foundation that develops software to combat child exploitation, identifies eight child victims and 215 pieces of child abuse material per day.  
Sarah Gardner, VP of external affairs at Thorn, suggests using 
 - a form of encryption that lets users perform computations on encrypted data, without first decrypting it.
Another option would be to invest in better solutions, she adds.
Edinburgh-based Cyan Forensics, which uses statistical sampling to scan suspects' devices for CSAM content in just 10 minutes, agrees.
""End-to-end encryption is here already and it's neither good nor bad,"" says Cyan Forensics' co-founder and chief executive Ian Stevenson.
""However, there is a dire need for broader protocols to ensure the safety of children online.""
Former detective constable Alan McConnell, who worked on more than a hundred child sex abuse cases, left Police Scotland to teach Cyan about the problems the police face.
As a result of his work, a major UK police force used Cyan's software to detect CSAM material on an ex-offender's computer in March. The individual was found to have surreptitiously installed cameras at a club used by children. 
However, a senior German prosecutor says his biggest problem is getting tech firms to play ball. 
""We're addressing all the big tech firms - please help us,"" says Markus Hartmann, director of North Rhine-Westphalia's central cybercrime department.
""You hear they have these big teams fighting digital crimes, and I wonder, why don't they file any complaints with law enforcement?""
His unit recently busted a child pornography ring, charging 65 suspects and rescuing a 13-year-old child. 
They were aided by Microsoft, which scanned its database of Skype users to locate the suspects' IP addresses.
Mr Hartmann is surprisingly in favour of encryption.
""If you break encryption, put in backdoors or ban it, then you're doing more harm than good... and I doubt the guys we are really going after, will not be able to get around it,"" he says.
""Even as a prosecutor, I could set up my own end-to-end encrypted network in two days, routed through public libraries.""",,https://www.bbc.com/news/business-57050689,Should encryption be curbed to combat child abuse?
